date,type,price,log_price
2016/7/20,GDEA,11.5,2.442347035
2016/7/21,GDEA,11.5,2.442347035
2016/7/25,GDEA,10.41,2.342766883
2016/7/26,GDEA,9.94,2.296567021
2016/7/27,GDEA,9,2.197224577
2016/7/28,GDEA,8.19,2.102913898
2016/8/1,GDEA,8.8,2.174751721
2016/8/3,GDEA,9.68,2.270061901
2016/8/4,GDEA,10.65,2.365559892
2016/8/5,GDEA,10.65,2.365559892
2016/8/8,GDEA,11.4,2.433613355
2016/8/10,GDEA,11.4,2.433613355
2016/8/11,GDEA,10.8,2.379546134
2016/8/12,GDEA,11.34,2.428336298
2016/8/15,GDEA,11.88,2.474856314
2016/8/18,GDEA,10.93,2.391511302
2016/8/19,GDEA,11.89,2.475697711
2016/8/22,GDEA,12.85,2.553343811
2016/8/23,GDEA,13.1,2.57261223
2016/8/24,GDEA,14.3,2.660259537
2016/8/26,GDEA,15.2,2.721295428
2016/8/29,GDEA,14.46,2.671386217
2016/8/30,GDEA,14.05,2.642622396
2016/8/31,GDEA,15.16,2.71866038
2016/9/1,GDEA,15.5,2.740840024
2016/9/2,GDEA,15.58,2.74598804
2016/9/5,GDEA,14.53,2.676215478
2016/9/6,GDEA,15.49,2.740194654
2016/9/7,GDEA,15.49,2.740194654
2016/9/8,GDEA,15.49,2.740194654
2016/9/13,GDEA,13.94,2.634762405
2016/9/14,GDEA,14.22,2.654649424
2016/9/19,GDEA,15.04,2.710713319
2016/9/21,GDEA,13.54,2.605648267
2016/9/22,GDEA,12.54,2.528923535
2016/9/23,GDEA,11.32,2.426571073
2016/9/26,GDEA,12.04,2.48823444
2016/9/27,GDEA,11.42,2.435366204
2016/9/28,GDEA,11.45,2.43798973
2016/9/30,GDEA,10.31,2.333114298
2016/10/10,GDEA,9.8,2.282382386
2016/10/11,GDEA,10.68,2.368372834
2016/10/12,GDEA,10.31,2.333114298
2016/10/13,GDEA,11.3,2.424802726
2016/10/14,GDEA,10.17,2.31944221
2016/10/17,GDEA,11,2.397895273
2016/10/18,GDEA,11.3,2.424802726
2016/10/19,GDEA,12.17,2.498973907
2016/10/20,GDEA,11.7,2.459588842
2016/10/21,GDEA,10.53,2.354228326
2016/10/24,GDEA,10.46,2.347558459
2016/10/25,GDEA,10.65,2.365559892
2016/10/26,GDEA,10.86,2.385086315
2016/10/27,GDEA,10.7,2.370243741
2016/10/28,GDEA,11.7,2.459588842
2016/10/31,GDEA,10.53,2.354228326
2016/11/1,GDEA,9.8,2.282382386
2016/11/2,GDEA,10.73,2.373043557
2016/11/3,GDEA,11.5,2.442347035
2016/11/4,GDEA,12.06,2.489894191
2016/11/7,GDEA,13.2,2.58021683
2016/11/8,GDEA,12.44,2.520917087
2016/11/10,GDEA,11.2,2.415913778
2016/11/11,GDEA,11.33,2.427454075
2016/11/14,GDEA,10.89,2.387844937
2016/11/15,GDEA,11.9,2.4765384
